"期號","類別
","連結文字","href (email)","href (web)","摘要文字","摘要字數"
1311,"banner","Firefox 瀏覽器 網路購物的好幫手","","http://mozilla.com.tw/shop-with-firefox/","Firefox 始終把使用者放在第一位，高度重視使用者的網路安全與個人隱私，能讓您的網路購物經驗更為安心、容易與輕鬆。",59
1311,"mozilla","Mozilla 目前狀況與 2012 財務報表","","http://blog.mozilla.com.tw/posts/4275","Mozilla 基金會公開目前狀況及 2012 年度財務報表。Mozilla 不論是在財務或組織上都保持往好的方向發展。",60
1311,"firefox","Firefox Beta 開放測試 Click to Play 功能
外掛程式不預設啓動 讓瀏覽更安全","","http://blog.mozilla.com.tw/posts/4111/plugin-activation-in-firefox","瀏覽器預設不執行外掛而改由使用者自行啟動，如此一來常因外掛程式導致 Firefox 當機的問題應可大幅改善。",54
1311,"firefox os","Telefónica 已於祕魯、墨西哥、烏拉圭發售 Firefox OS 智慧型手機","","http://blog.mozilla.com.tw/posts/4103/telefonica-launches-firefox-os-smartphones-in-mexico-peru-and-uruguay","包含祕魯、墨西哥、烏拉圭，目前全球已有九個國家正式販售 Firefox OS 手機。",42
1311,"firefox","「聽」到沒？Web Audio API 已加入 Firefox","","http://blog.mozilla.com.tw/posts/4078/listen-up-web-audio-api-now-in-firefox-completes-web-as-a-platform-for-gaming","Firefox 宣佈成為全球第一個支援 Web Audio API 的瀏覽器，讓 Web 處理音效的能力完全大躍進！",58
1311,"firefox for android","Firefox for Android 內建於全新行動裝置","","http://blog.mozilla.com.tw/posts/4164/firefox-for-android-included-on-new-devices-to-bring-an-amazing-web-experience-to-users","Firefox for Android 成為 Kobo 電子書和 Gigabyte 旗下之 GSmart Simba SX1 智慧型手機預裝行動瀏覽器。",76
1311,"firefox","Firefox 滿九歲了！生日快樂！","","http://blog.mozilla.com.tw/posts/4169/happy-ninth-birthday-firefox","Firefox 這九年來不斷協助推動 Web 前進，一起來看看過去這一年來 Mozilla 獻給 Web 的九個最佳禮物！",61
1311,"firefox os","透過 Firefox OS 創造自己的收益","","http://blog.mozilla.com.tw/posts/4190/monetization-with-inneractive-on-firefox-os","Mozilla 與網路廣告商 Inneractive 合作建構出簡易函式庫，可將廣告整合至 Firefox OS 的 App 與遊戲之中。",69
1311,"firefox","「Australis」已於 Firefox Nightly 中登場","","http://blog.mozilla.com.tw/posts/4232/australis-is-landing-in-firefox-nightly","Mozilla 將本次介面改造稱為「Australis」專案，是新一代的 Firefox 使用者介面。",51
1311,"firefox","Emscripten 與拼音輸入法的相遇","","http://tech.mozilla.com.tw/posts/3366/","什麼是 Emscripten? 如何將 Emscripten 應用在 Firefox OS 注音輸入法的編寫上? 且由台客 Luke 為你一一解說。",74
1311,"event","活動預告：十二月狐狐工作坊 – APP 競賽成果展示 LIVE Show","","http://blog.mozilla.com.tw/events/firefox-os-app-contest","十二月的狐狐工作坊 Firefox 校園大使們將為大家帶來 Firefox OS APP 校園創意競賽成果展示 LIVE Show！",66
1311,"event","活動回顧：熱力四射的 Mozilla 企業參訪活動花絮","","http://blog.mozilla.com.tw/posts/4271/nov-moztour","政治大學及中原大學分別於 11 月到 Mozilla Taiwan 辦公室進行企業參訪，看看有什麼有趣的現場花絮！",57
1311,"event","『Firefox OS 讓你盡情享受每一刻活動』得獎名單公告！ ","","http://firefox.club.tw/campaign/every-moment/result/","得獎名單公告了，快查查你是否榜上有名！",19
1311,"quiz","Firefox 介面長期以來最重大的更新，其專案名稱為?","","","",0
1311,"answer","Australis","","","",0
1311,"answer","Click to Play","","","",0
1311,"answer","Lightbeam for Firefox","","","",0
1311,"deadline","12/15/2013","","","",0
